player_id,shortName,position,birthDate,height,countryId,jerseyNumber,team_id,team_name,meta_duels,meta_height,meta_skills,meta_status,meta_average,meta_defence,meta_injured,meta_passing,meta_physical,meta_position,meta_shooting,meta_lastSplit,meta_websiteUrl,meta_currentLeague,stat_code,stat_name,stat_description,stat_total,stat_totalAvg,stat_ranking,stat_minutes,stat_best,stat_worst,stat_reliability,stat_rankingAVG,stat_kamaScore,meta_matchLink,meta_videoLink,meta_jerseyNumber,meta_diving,meta_handling,meta_reflexes,meta_anticipation,meta_goalkeeperPassing
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,ASS-V,Assists,Last pass of a player who passes the ball to a teammate who scores,1.0,0.3333333333333333,24,120.0,5.0,0.0,,28,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CLR,Clearances,Ball clearances from dangerous areas,0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CLR-T,Header Clearances,Ball clearances with headers from dangerous areas,0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CRN,Corners,Corners taken,0.0,0.0,1,120.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CRS,Crosses,Total crosses attempted,0.0,0.0,1,120.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CRS-V,Successful Crosses,Crosses whose next touch is from a teammate.,0.0,0.0,1,120.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CRT-1G,First Yellow Card,First Yellow Card,0.0,0.0,29,120.0,0.0,3.0,,29,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CRT-2G,Second Yellow Card,Second Yellow Card,0.0,0.0,2,120.0,0.0,1.0,,2,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CRT-G,Yellow Cards,Yellow card,0.0,0.0,29,120.0,0.0,3.0,,29,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CRT-R,Red Cards,Red card,0.0,0.0,2,120.0,0.0,1.0,,2,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,CRT-R-TOT,Total Red Cards,"Total red cards, as sum of direct red and double yellow",0.0,0.0,2,80.0,0.0,2.0,,2,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DRB,Dribbles,Dribbling attempt,10.0,3.333333333333333,4,120.0,15.0,0.0,,4,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DRB-R,Successful Dribbles,Dribbling one or more opponents maintaining possession of the ball.,10.0,3.333333333333333,4,120.0,15.0,0.0,,3,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DRB-RX,Successful Dribbles (%),Percentage of dribbling maintaining possession of the ball.,100.0,100.0,1,120.0,100.0,75.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DUL,Duels,Duel for ball control between two players: includes also aerial duels and tackles,0.0,0.0,1,120.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DUL-A,Aerial Duels,Aerial duels undertaken,0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DUL-AP,Aerial Duels Lost,Total aerial duels lost,0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DUL-AV,Aerial Duels Won,Aerial duels won,0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DUL-P,Duels Lost,Total duels lost (includes aerial duels and tackles),0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DUL-T,Tackle Duels,Tackle duels attempted,0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DUL-TV,Successful Tackle Duels,"Tackle duels that are successful, stopping opponent advancement (possession gain not required)",0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,DUL-V,Duels Won,Action attributed to the player / team who gains possession after a duel,0.0,0.0,1,120.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,FAL,Fouls Committed,Fouls committed ,0.0,0.0,87,120.0,0.0,7.0,,87,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,FAL-M,Handball,Handball fouls committed,0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,FAS,Fouls Suffered,Fouls suffered,0.0,0.0,1,80.0,0.0,0.0,,1,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,FRG,Offsides,Action attributed to the offside player / team,0.0,0.0,15,120.0,0.0,3.0,,15,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,GOL,Goals,Goals and opponent own goals combined,2.0,0.6666666666666666,22,120.0,11.0,0.0,,24,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,GOL-2X,Double Goals,Double scoring goals,0.0,0.0,15,120.0,2.0,0.0,,15,,,,,,,,,
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,,49,G3X FC,81,173,84,Wildcard,82,80,true,82,81,MC,85,4,https://kingsleague.pro/es/jugadores/34112-Andreas-Vaz,KL Spain,GOL-A,Own Goals,Own Goals,0.0,0.0,3,120.0,0.0,1.0,,3,,,,,,,,,
